STATE,YEAR,INCREMENTAL_LOAD_MW,STATE TOTAL,PERCENT INCREASE
ARKANSAS,2026,100,,
ARKANSAS,2027,750,,
ARKANSAS,2029,93,,
ARKANSAS,2030,"1,030","1,973",
ILLINOIS,2026,104,,
ILLINOIS,2028,634,738,
INDIANA,2026,666,,
INDIANA,2027,"4,228",,
INDIANA,2028,"1,730",,
INDIANA,2029,469,,
INDIANA,2030,"3,666",,
INDIANA,2031,38,,
INDIANA,2032,"1,200","11,997",
IOWA,2026,331,,
IOWA,2027,"1,121",,
IOWA,2028,"1,573",,
IOWA,2029,162,,
IOWA,2030,"2,359","5,546",
KENTUCKY,2027,241,,
KENTUCKY,2028,241,,
KENTUCKY,2032,"1,800","2,282",
LOUISIANA,2026,100,,
LOUISIANA,2027,"1,268",,
LOUISIANA,2028,"1,495",,
LOUISIANA,2029,945,,
LOUISIANA,2030,130,,
LOUISIANA,2032,"2,000","5,938",
MICHIGAN,2026,116,,
MICHIGAN,2027,"1,276",,
MICHIGAN,2028,"1,383",,
MICHIGAN,2029,283,,
MICHIGAN,2030,545,"3,603",
MINNESOTA,2026,346,,
MINNESOTA,2027,466,,
MINNESOTA,2028,445,,
MINNESOTA,2029,275,,
MINNESOTA,2030,"1,526","3,058",
MISSISSIPPI,2026,777,,
MISSISSIPPI,2027,778,,
MISSISSIPPI,2028,237,,
MISSISSIPPI,2030,751,"2,543",
MISSOURI,2027,471,,
MISSOURI,2028,"1,600",,
MISSOURI,2029,721,,
MISSOURI,2030,"1,250","4,042",
NORTH DAKOTA,2026,176,,
NORTH DAKOTA,2027,680,,
NORTH DAKOTA,2030,"1,260","2,116",
WISCONSIN,2026,420,,
WISCONSIN,2027,170,,
WISCONSIN,2028,"2,273",,
WISCONSIN,2030,"3,992","6,855",
,,,"50,691",
