q_id,q_status,q_date,prop_date,on_date,wd_date,ia_date,IA_phase_raw,IA_phase_clean,county,state,fips_code,poi_name,region,project_name,utility,entity,developer,cluster,service,project_type,type_1,type_2,type_3,type_clean,mw_1,mw_2,mw_3,q_year,prop_year,planned_years,total_mw,invalid_mw,log_mw,realized,raw_probability,calibrated_probability,expected_mw
MPC03800,active,2019-02-21,2027-12-31,,,,GIA Executed,IA Executed,Eddy,ND,38027.0,Center-Prairie 345 kV Line,MISO,,Minnkota Power Cooperative,MPC,,,NRIS,Generation,Wind,,,Wind,250.0,,,2019.0,2027.0,8.856947296372347,250.0,False,5.5254529391317835,,0.2610253208148614,0.1678832116788321,41.97080291970803
MPC03900,active,2019-04-16,2027-12-31,,,,GIA Executed,IA Executed,Eddy,ND,38027.0,Center-Prairie 345 kV Line,MISO,,Minnkota Power Cooperative,MPC,,,NRIS,Generation,Wind,,,Wind,151.2,,,2019.0,2027.0,8.709103353867214,151.2,False,5.025195445427586,,0.301904184237476,0.19642857142857142,29.699999999999996
MPC04000,active,2019-04-25,2023-12-01,,,,GIA Executed,IA Executed,Oliver,ND,38065.0,Square Butte 230 kV Substation,MISO,,Minnkota Power Cooperative,MPC,,,NRIS,Generation,Wind,,,Wind,300.0,,,2019.0,2023.0,4.602327173169062,300.0,False,5.707110264748875,,0.17941151987225135,0.07692307692307693,23.076923076923077
MPC04100,withdrawn,2019-04-25,2023-12-01,,,,,,Grand Forks,ND,38035.0,Prairie 230 kV,MISO,,Minnkota Power Cooperative,MPC,,,NRIS,Generation,Wind,,,Wind,300.0,,,2019.0,2023.0,4.602327173169062,300.0,False,5.707110264748875,0.0,0.17941151987225135,0.07692307692307693,23.076923076923077
MPC04200,withdrawn,2020-11-22,2024-10-31,,,,,,Clearwater,MN,27029.0,Winger-Walton 230 kV,MISO,,Minnkota Power Cooperative,MPC,,,NRIS,Generation,Solar,,,Solar,153.6,,,2020.0,2024.0,3.9397672826830936,153.6,False,5.040841136153322,0.0,0.21556925363853185,0.1678832116788321,25.78686131386861
MPC04300,withdrawn,2021-07-15,2024-11-30,,,,,,Steele,ND,38091.0,Center Prairie 345 kV Line,MISO,,Minnkota Power Cooperative,MPC,,,NRIS,Generation,Wind,,,Wind,457.3,,,2021.0,2024.0,3.378507871321013,457.3,False,6.127523991515078,0.0,0.13973006821365763,0.0,0.0
MPC04400,active,2022-02-04,2024-12-23,,,,,System Impact Study,Grand Forks,ND,38035.0,Center-Prairie 345 kV Line,MISO,,Minnkota Power Cooperative,MPC,,,NRIS,Generation,Wind,,,Wind,205.9,,,2022.0,2024.0,2.8829568788501025,205.9,False,5.332235584751498,,0.005716210542149971,0.0,0.0
MPC04500,active,2023-09-26,2028-03-01,,,,,Feasibility Study,Grand Forks,ND,38035.0,Lerfald Substation,MISO,,Minnkota Power Cooperative,MPC,,,NRIS,Generation,Wind,,,Wind,258.4,,,2023.0,2028.0,4.42984257357974,258.4,False,5.5583712718823435,,0.004454879453250173,0.0,0.0
MPC04600,active,2025-11-25,2028-12-31,,,,,In Progress (unknown study),Eddy,ND,38027.0,Center-Prairie 345 kV Line,MISO,,Minnkota Power Cooperative,MPC,,,NRIS,Surplus,Battery,,,Battery,208.6,,,2025.0,2028.0,3.0992470910335386,208.6,False,5.345200952446887,,0.016096915993049903,0.0,0.0
APP-100016,withdrawn,2025-08-06,,,2025-08-29,,Request Status: Withdrawn,Withdrawn,,LA,,,MISO,,,MISO,,,,Generation,Gas,,,Gas,770.0,,,2025.0,,,770.0,False,6.647688373563329,0.0,0.02903157315671921,0.0,0.0
