start_date_utc,total_net_generation_mwh,total_co2_mass_tons,total_co2_intensity_lbs_per_mwh,coal_mw_net_generation_mwh,coal_mw_co2_mass_tons,coal_mw_co2_intensity_lbs_per_mwh,natural_gas_mw_net_generation_mwh,natural_gas_mw_co2_mass_tons,natural_gas_mw_co2_intensity_lbs_per_mwh,nuclear_mw_net_generation_mwh,nuclear_mw_co2_mass_tons,nuclear_mw_co2_intensity_lbs_per_mwh,other_mw_net_generation_mwh,other_mw_co2_mass_tons,other_mw_co2_intensity_lbs_per_mwh,solar_mw_net_generation_mwh,solar_mw_co2_mass_tons,solar_mw_co2_intensity_lbs_per_mwh,wind_mw_net_generation_mwh,wind_mw_co2_mass_tons,wind_mw_co2_intensity_lbs_per_mwh,theoretical_fossil_power_mwh,theoretical_total,excess_power,net excess,other_percentage
2026-08-23T05:00:00+00:00,67770.83,37545.79,1108.02,24001,26142.37,2178.45,25352.08,11615.6,916.34,11132.92,0,0,-383,-300.77,1570.61,81,0,0,7586.92,0,0,60000,78417.84,10647,1215604,-0.6
2026-08-23T06:00:00+00:00,64218.58,35146.06,1094.58,22310,24300.77,2178.45,24682.17,11308.67,916.34,11134.83,0,0,-846.67,-664.89,1570.61,81,0,0,6857.08,0,0,60000,77226.24,13008,total weekly power,-1.3
2026-08-23T07:00:00+00:00,62026.42,33574.15,1082.58,21088,22969.01,2178.45,24556.08,11250.9,916.34,11194.42,0,0,-1193,-936.87,1570.61,81,0,0,6300.42,0,0,60000,76382.84,14356,13712929,-1.9
2026-08-23T08:00:00+00:00,60437.5,32140.3,1063.59,19653,21406.7,2178.45,24395.33,11177.25,916.34,11219.92,0,0,-834.25,-655.14,1570.61,81,0,0,5922.33,0,0,60000,76389,15952,total recoverable,-1.4
2026-08-23T09:00:00+00:00,59694.75,31545.03,1056.88,18950,20640.34,2178.45,24311,11138.61,916.34,11224.17,0,0,-442.67,-347.63,1570.61,81,0,0,5571.67,0,0,60000,76434.17,16739,1033263,-0.7
2026-08-23T10:00:00+00:00,59857.83,31623.25,1056.61,18861,20543.94,2178.45,24271.42,11120.47,916.34,11227.08,0,0,-77.92,-61.19,1570.61,81.5,0,0,5494.67,0,0,60000,76725.33,16868,ARES 1GW batteries needed,-0.1
2026-08-23T11:00:00+00:00,60017.17,31177.36,1038.95,18661,20325.83,2178.45,23704.75,10860.84,916.34,11231.5,0,0,-17.92,-14.07,1570.61,835.92,0,0,5602.08,0,0,60000,77651.58,17634,1033,0.0
2026-08-23T12:00:00+00:00,62660.75,28723.99,916.81,17646,19220.45,2178.45,20748,9506.14,916.34,11231.67,0,0,-5.67,-4.45,1570.61,7651.5,0,0,5389.25,0,0,60000,84266.75,21606,percent increase,0.0
2026-08-23T13:00:00+00:00,66584.17,26577.66,798.32,16656,18142.11,2178.45,18380.75,8421.54,916.34,11229,0,0,17.83,14,1570.61,15981.92,0,0,4318.67,0,0,60000,91547.42,24963,7.53%,0.0
2026-08-23T14:00:00+00:00,70847.17,27676.6,781.3,16657,18142.75,2178.45,19492.83,8931.06,916.34,11223.25,0,0,767.58,602.79,1570.61,18836.33,0,0,3870.58,0,0,60000,94697.74,23851,,1.1
